"","scenario","quantile","coupling_strength","Tpeak","count","any_tippings_prob","number_of_tippings_mean","number_of_tippings_sd","number_of_tippings_se","GIS_tip_prob","THC_tip_prob","WAIS_tip_prob","AMAZ_tip_prob","Tconv"
"1","CurPol-OS-1.5C",0.1,0,2.61,1000,0.206,0.219,0.444112864299421,0.0140440818936745,0.009,0.124,0.019,0.067,1.0627
"2","CurPol-OS-1.5C",0.1,0.1,2.61,1000,0.211,0.228,0.458504336104062,0.0144991801915221,0.008,0.129,0.022,0.069,1.0627
"3","CurPol-OS-1.5C",0.1,0.2,2.61,1000,0.216,0.234,0.466327633173782,0.0147465745670465,0.008,0.135,0.022,0.069,1.0627
"4","CurPol-OS-1.5C",0.1,0.3,2.61,1000,0.216,0.244,0.492652724245697,0.0155790470410326,0.008,0.137,0.022,0.077,1.0627
"5","CurPol-OS-1.5C",0.1,0.4,2.61,1000,0.22,0.26,0.52409414676628,0.0165733121214401,0.007,0.142,0.024,0.087,1.0627
"6","CurPol-OS-1.5C",0.1,0.5,2.61,1000,0.229,0.28,0.553087611419661,0.0174901659770828,0.005,0.15,0.026,0.099,1.0627
"7","CurPol-OS-1.5C",0.1,0.6,2.61,1000,0.234,0.294,0.574363903717751,0.0181629814153375,0.004,0.159,0.026,0.105,1.0627
"8","CurPol-OS-1.5C",0.1,0.7,2.61,1000,0.237,0.302,0.592576701488632,0.0187389206505377,0.003,0.161,0.029,0.109,1.0627
"9","CurPol-OS-1.5C",0.1,0.8,2.61,1000,0.237,0.315,0.623027417665678,0.0197018568455657,0.003,0.164,0.03,0.118,1.0627
"10","CurPol-OS-1.5C",0.1,0.9,2.61,1000,0.241,0.325,0.632277450787844,0.0199943685765461,0.003,0.167,0.031,0.124,1.0627
"11","CurPol-OS-1.5C",0.1,1,2.61,1000,0.245,0.333,0.646938582501871,0.0204579942694666,0.003,0.167,0.034,0.129,1.0627
"12","CurPol-OS-1.5C",0.2,0,2.82,1000,0.268,0.292,0.504966326591181,0.0159684373371658,0.014,0.143,0.023,0.112,1.19248
"13","CurPol-OS-1.5C",0.2,0.1,2.82,1000,0.273,0.298,0.509367701621781,0.0161076210364987,0.013,0.148,0.027,0.11,1.19248
"14","CurPol-OS-1.5C",0.2,0.2,2.82,1000,0.278,0.307,0.522517008358603,0.0165234386259042,0.012,0.154,0.027,0.114,1.19248
"15","CurPol-OS-1.5C",0.2,0.3,2.82,1000,0.285,0.322,0.542780444204294,0.0171642247308351,0.012,0.157,0.029,0.124,1.19248
"16","CurPol-OS-1.5C",0.2,0.4,2.82,1000,0.287,0.345,0.586787286262509,0.0185558432661876,0.009,0.166,0.03,0.14,1.19248
"17","CurPol-OS-1.5C",0.2,0.5,2.82,1000,0.292,0.359,0.608678477925324,0.0192481035296855,0.008,0.174,0.031,0.146,1.19248
"18","CurPol-OS-1.5C",0.2,0.6,2.82,1000,0.295,0.373,0.637398836896709,0.0201563210253577,0.005,0.181,0.032,0.155,1.19248
"19","CurPol-OS-1.5C",0.2,0.7,2.82,1000,0.301,0.39,0.659040464868686,0.0208406893920123,0.005,0.188,0.035,0.162,1.19248
"20","CurPol-OS-1.5C",0.2,0.8,2.82,1000,0.306,0.405,0.680763129464602,0.0215276203617223,0.004,0.192,0.038,0.171,1.19248
"21","CurPol-OS-1.5C",0.2,0.9,2.82,1000,0.314,0.419,0.691315352727622,0.0218613109606198,0.004,0.194,0.04,0.181,1.19248
"22","CurPol-OS-1.5C",0.2,1,2.82,1000,0.319,0.427,0.69509291044734,0.0219807678244904,0.004,0.199,0.043,0.181,1.19248
"23","CurPol-OS-1.5C",0.3,0,2.97,1000,0.324,0.361,0.552253550449414,0.0174637906533485,0.018,0.167,0.03,0.146,1.29804
"24","CurPol-OS-1.5C",0.3,0.1,2.97,1000,0.324,0.363,0.556363676510734,0.0175937642515904,0.016,0.172,0.031,0.144,1.29804
"25","CurPol-OS-1.5C",0.3,0.2,2.97,1000,0.323,0.366,0.566007388966226,0.0178987252161813,0.016,0.175,0.033,0.142,1.29804
"26","CurPol-OS-1.5C",0.3,0.3,2.97,1000,0.333,0.39,0.595192619455462,0.0188216432400111,0.016,0.186,0.035,0.153,1.29804
"27","CurPol-OS-1.5C",0.3,0.4,2.97,1000,0.34,0.414,0.631666844945184,0.019975059524392,0.014,0.196,0.036,0.168,1.29804
"28","CurPol-OS-1.5C",0.3,0.5,2.97,1000,0.348,0.437,0.662170272263464,0.0209396625920636,0.012,0.205,0.036,0.184,1.29804
"29","CurPol-OS-1.5C",0.3,0.6,2.97,1000,0.356,0.457,0.687476271316781,0.0217399085468091,0.009,0.212,0.039,0.197,1.29804
"30","CurPol-OS-1.5C",0.3,0.7,2.97,1000,0.359,0.474,0.709808303577683,0.0224461094140572,0.008,0.217,0.044,0.205,1.29804
"31","CurPol-OS-1.5C",0.3,0.8,2.97,1000,0.361,0.48,0.718412218796504,0.0227181891029218,0.004,0.219,0.044,0.213,1.29804
"32","CurPol-OS-1.5C",0.3,0.9,2.97,1000,0.364,0.488,0.722757482409126,0.0228555984034192,0.004,0.222,0.045,0.217,1.29804
"33","CurPol-OS-1.5C",0.3,1,2.97,1000,0.369,0.497,0.732480393954355,0.0231630638631319,0.004,0.225,0.049,0.219,1.29804
"34","CurPol-OS-1.5C",0.4,0,3.13,1000,0.366,0.414,0.582188064926569,0.0184104031173395,0.02,0.182,0.033,0.179,1.3965
"35","CurPol-OS-1.5C",0.4,0.1,3.13,1000,0.373,0.423,0.588572355294927,0.0186122921054183,0.019,0.188,0.035,0.181,1.3965
"36","CurPol-OS-1.5C",0.4,0.2,3.13,1000,0.38,0.434,0.596657355607052,0.0188679622641132,0.018,0.196,0.035,0.185,1.3965
"37","CurPol-OS-1.5C",0.4,0.3,3.13,1000,0.386,0.465,0.642797159443155,0.0203270309732678,0.016,0.209,0.036,0.204,1.3965
"38","CurPol-OS-1.5C",0.4,0.4,3.13,1000,0.39,0.486,0.672500004651492,0.0212663174117254,0.015,0.22,0.039,0.212,1.3965
"39","CurPol-OS-1.5C",0.4,0.5,3.13,1000,0.394,0.51,0.713027635094467,0.0225479136154192,0.014,0.228,0.042,0.226,1.3965
"40","CurPol-OS-1.5C",0.4,0.6,3.13,1000,0.401,0.527,0.730619466483617,0.0231042161694528,0.012,0.234,0.048,0.233,1.3965
"41","CurPol-OS-1.5C",0.4,0.7,3.13,1000,0.414,0.551,0.742934015206567,0.0234936363926692,0.007,0.246,0.05,0.248,1.3965
"42","CurPol-OS-1.5C",0.4,0.8,3.13,1000,0.416,0.558,0.749130961312638,0.0236896010349942,0.005,0.25,0.053,0.25,1.3965
"43","CurPol-OS-1.5C",0.4,0.9,3.13,1000,0.423,0.57,0.753437235387041,0.0238257773780346,0.005,0.251,0.058,0.256,1.3965
"44","CurPol-OS-1.5C",0.4,1,3.13,1000,0.427,0.573,0.753152201243705,0.0238167638069961,0.005,0.255,0.061,0.252,1.3965
"45","CurPol-OS-1.5C",0.5,0,3.3,1000,0.42,0.485,0.618188609695421,0.0195488403021038,0.024,0.208,0.037,0.216,1.5033
"46","CurPol-OS-1.5C",0.5,0.1,3.3,1000,0.431,0.495,0.616729564197595,0.0195027012322743,0.023,0.218,0.039,0.215,1.5033
"47","CurPol-OS-1.5C",0.5,0.2,3.3,1000,0.432,0.515,0.651305764752009,0.0205960966981416,0.021,0.227,0.041,0.226,1.5033
"48","CurPol-OS-1.5C",0.5,0.3,3.3,1000,0.442,0.552,0.694102137857086,0.0219494368442058,0.017,0.238,0.046,0.251,1.5033
"49","CurPol-OS-1.5C",0.5,0.4,3.3,1000,0.443,0.568,0.715463407790984,0.0226249395112537,0.016,0.243,0.049,0.26,1.5033
"50","CurPol-OS-1.5C",0.5,0.5,3.3,1000,0.45,0.595,0.754681750504505,0.0238651324015716,0.015,0.256,0.055,0.269,1.5033
"51","CurPol-OS-1.5C",0.5,0.6,3.3,1000,0.458,0.617,0.772598154222431,0.0244316988338492,0.013,0.264,0.061,0.279,1.5033
"52","CurPol-OS-1.5C",0.5,0.7,3.3,1000,0.461,0.632,0.786889569885886,0.0248836330786964,0.008,0.276,0.065,0.283,1.5033
"53","CurPol-OS-1.5C",0.5,0.8,3.3,1000,0.471,0.645,0.788413975394016,0.0249318390135304,0.007,0.282,0.071,0.285,1.5033
"54","CurPol-OS-1.5C",0.5,0.9,3.3,1000,0.474,0.652,0.790899185434858,0.0250104282554602,0.006,0.288,0.073,0.285,1.5033
"55","CurPol-OS-1.5C",0.5,1,3.3,1000,0.476,0.651,0.788556162122154,0.02493633535267,0.006,0.288,0.073,0.284,1.5033
"56","CurPol-OS-1.5C",0.6,0,3.46,1000,0.466,0.554,0.653843644544712,0.0206763515038682,0.027,0.231,0.044,0.252,1.62246
"57","CurPol-OS-1.5C",0.6,0.1,3.46,1000,0.475,0.566,0.660363596876812,0.0208825304999198,0.024,0.237,0.049,0.256,1.62246
"58","CurPol-OS-1.5C",0.6,0.2,3.46,1000,0.475,0.588,0.69910281414449,0.0221075721132997,0.024,0.249,0.051,0.264,1.62246
"59","CurPol-OS-1.5C",0.6,0.3,3.46,1000,0.48,0.62,0.733578992432402,0.0231978045973781,0.021,0.26,0.055,0.284,1.62246
"60","CurPol-OS-1.5C",0.6,0.4,3.46,1000,0.482,0.637,0.760137361802989,0.0240376539788892,0.018,0.268,0.059,0.292,1.62246
"61","CurPol-OS-1.5C",0.6,0.5,3.46,1000,0.493,0.662,0.776117490047968,0.0245429900044465,0.014,0.279,0.068,0.301,1.62246
"62","CurPol-OS-1.5C",0.6,0.6,3.46,1000,0.505,0.695,0.799133038744872,0.0252708055592538,0.014,0.293,0.074,0.314,1.62246
"63","CurPol-OS-1.5C",0.6,0.7,3.46,1000,0.51,0.716,0.82342092639307,0.0260388560044796,0.014,0.303,0.076,0.323,1.62246
"64","CurPol-OS-1.5C",0.6,0.8,3.46,1000,0.511,0.708,0.810797997896759,0.0256396839565817,0.008,0.304,0.076,0.32,1.62246
"65","CurPol-OS-1.5C",0.6,0.9,3.46,1000,0.512,0.714,0.815394915895892,0.0257850512675245,0.009,0.308,0.078,0.319,1.62246
"66","CurPol-OS-1.5C",0.6,1,3.46,1000,0.518,0.72,0.815024088149709,0.0257733246645493,0.008,0.315,0.081,0.316,1.62246
