"","scenario","quantile","coupling_strength","Tpeak","count","any_tippings_prob","number_of_tippings_mean","number_of_tippings_sd","number_of_tippings_se","GIS_tip_prob","THC_tip_prob","WAIS_tip_prob","AMAZ_tip_prob","Tconv"
"1","CurPol-OS-1.5C",0.1,0,2.61,1000,0.325,0.375,0.588830809079927,0.0186204651317233,0.127,0.124,0.057,0.067,1.0627
"2","CurPol-OS-1.5C",0.1,0.1,2.61,1000,0.336,0.413,0.639405849081661,0.0202197883233193,0.119,0.129,0.096,0.069,1.0627
"3","CurPol-OS-1.5C",0.1,0.2,2.61,1000,0.343,0.502,0.799146191028046,0.0252712214709664,0.119,0.17,0.144,0.069,1.0627
"4","CurPol-OS-1.5C",0.1,0.3,2.61,1000,0.355,0.589,0.939660556776734,0.0297146758683645,0.12,0.206,0.185,0.078,1.0627
"5","CurPol-OS-1.5C",0.1,0.4,2.61,1000,0.369,0.623,0.963223130327962,0.0304597898679357,0.109,0.225,0.199,0.09,1.0627
"6","CurPol-OS-1.5C",0.1,0.5,2.61,1000,0.389,0.68,0.991253036606992,0.0313461733323636,0.103,0.248,0.223,0.106,1.0627
"7","CurPol-OS-1.5C",0.1,0.6,2.61,1000,0.402,0.738,1.04136470097677,0.0329308432998677,0.108,0.266,0.24,0.124,1.0627
"8","CurPol-OS-1.5C",0.1,0.7,2.61,1000,0.411,0.779,1.07018891056874,0.0338423448405146,0.104,0.276,0.264,0.135,1.0627
"9","CurPol-OS-1.5C",0.1,0.8,2.61,1000,0.431,0.837,1.09801486175581,0.0347222786786328,0.112,0.29,0.29,0.145,1.0627
"10","CurPol-OS-1.5C",0.1,0.9,2.61,1000,0.455,0.909,1.1304852926938,0.0357490838623453,0.133,0.303,0.316,0.157,1.0627
"11","CurPol-OS-1.5C",0.1,1,2.61,1000,0.48,0.977,1.1531698924273,0.0364664338920164,0.146,0.316,0.347,0.168,1.0627
"12","CurPol-OS-1.5C",0.2,0,2.82,1000,0.445,0.555,0.701046693499418,0.0221690429758812,0.183,0.145,0.115,0.112,1.19248
"13","CurPol-OS-1.5C",0.2,0.1,2.82,1000,0.458,0.607,0.754400503791004,0.0238562385995806,0.172,0.151,0.174,0.11,1.19248
"14","CurPol-OS-1.5C",0.2,0.2,2.82,1000,0.469,0.746,0.946773669036259,0.0299396122282901,0.174,0.209,0.249,0.114,1.19248
"15","CurPol-OS-1.5C",0.2,0.3,2.82,1000,0.482,0.856,1.07536989934646,0.0340061820912084,0.18,0.261,0.291,0.124,1.19248
"16","CurPol-OS-1.5C",0.2,0.4,2.82,1000,0.497,0.923,1.12531654983713,0.0355856338616771,0.168,0.292,0.314,0.149,1.19248
"17","CurPol-OS-1.5C",0.2,0.5,2.82,1000,0.509,0.975,1.13915436735882,0.0360232240738204,0.156,0.318,0.334,0.167,1.19248
"18","CurPol-OS-1.5C",0.2,0.6,2.82,1000,0.521,1.026,1.16562544699517,0.036860313111566,0.155,0.335,0.354,0.182,1.19248
"19","CurPol-OS-1.5C",0.2,0.7,2.82,1000,0.535,1.088,1.19485718129142,0.0377847017148963,0.156,0.359,0.375,0.198,1.19248
"20","CurPol-OS-1.5C",0.2,0.8,2.82,1000,0.559,1.149,1.19675863532762,0.0378448309711013,0.165,0.373,0.398,0.213,1.19248
"21","CurPol-OS-1.5C",0.2,0.9,2.82,1000,0.586,1.226,1.20181877517718,0.0380048466431371,0.178,0.388,0.435,0.225,1.19248
"22","CurPol-OS-1.5C",0.2,1,2.82,1000,0.609,1.293,1.20191330618959,0.0380078359762246,0.188,0.406,0.466,0.233,1.19248
"23","CurPol-OS-1.5C",0.3,0,2.97,1000,0.547,0.716,0.76021176123625,0.0240400066955465,0.233,0.167,0.17,0.146,1.29804
"24","CurPol-OS-1.5C",0.3,0.1,2.97,1000,0.552,0.781,0.83769967216225,0.0264903895920906,0.218,0.173,0.246,0.144,1.29804
"25","CurPol-OS-1.5C",0.3,0.2,2.97,1000,0.563,0.959,1.03265937529535,0.0326555567305992,0.227,0.254,0.336,0.142,1.29804
"26","CurPol-OS-1.5C",0.3,0.3,2.97,1000,0.573,1.077,1.14908284792324,0.0363371901967033,0.226,0.319,0.378,0.154,1.29804
"27","CurPol-OS-1.5C",0.3,0.4,2.97,1000,0.588,1.136,1.17851300073138,0.0372678533443086,0.204,0.353,0.399,0.18,1.29804
"28","CurPol-OS-1.5C",0.3,0.5,2.97,1000,0.606,1.21,1.18545573738765,0.0374874019545941,0.197,0.382,0.423,0.208,1.29804
"29","CurPol-OS-1.5C",0.3,0.6,2.97,1000,0.627,1.287,1.20917041524059,0.0382373259145183,0.189,0.414,0.449,0.235,1.29804
"30","CurPol-OS-1.5C",0.3,0.7,2.97,1000,0.635,1.345,1.22698022823535,0.0388005216521696,0.188,0.436,0.473,0.248,1.29804
"31","CurPol-OS-1.5C",0.3,0.8,2.97,1000,0.657,1.422,1.22777173099213,0.0388255511670269,0.195,0.459,0.504,0.264,1.29804
"32","CurPol-OS-1.5C",0.3,0.9,2.97,1000,0.678,1.487,1.21462187791358,0.0384097163007787,0.208,0.465,0.538,0.276,1.29804
